"name","count","date","party"
"cameron","9487",2010,cameron
"said","6323",2010,cameron
"would","5844",2010,cameron
"labour","5823",2010,cameron
"government","5061",2010,cameron
"party","4493",2010,cameron
"one","3874",2010,cameron
"people","3590",2010,cameron
"new","3158",2010,cameron
"minister","3139",2010,cameron
"david","3114",2010,cameron
"lib","2949",2010,cameron
"tory","2937",2010,cameron
"clegg","2853",2010,cameron
"election","2724",2010,cameron
"brown","2696",2010,cameron
"prime","2656",2010,cameron
"public","2596",2010,cameron
"tories","2510",2010,cameron
"last","2329",2010,cameron
"also","2317",2010,cameron
"coalition","2311",2010,cameron
"could","2236",2010,cameron
"britain","2195",2010,cameron
"time","2185",2010,cameron
"first","2073",2010,cameron
"us","2020",2010,cameron
"year","1972",2010,cameron
"like","1962",2010,cameron
"may","1866",2010,cameron
"conservative","1843",2010,cameron
"today","1836",2010,cameron
"two","1827",2010,cameron
"political","1775",2010,cameron
"leader","1758",2010,cameron
"years","1749",2010,cameron
"even","1716",2010,cameron
"british","1684",2010,cameron
"cuts","1683",2010,cameron
"dems","1658",2010,cameron
"liberal","1645",2010,cameron
"get","1600",2010,cameron
"make","1579",2010,cameron
"much","1566",2010,cameron
"think","1489",2010,cameron
"country","1478",2010,cameron
"made","1466",2010,cameron
"tax","1462",2010,cameron
"right","1461",2010,cameron
"way","1459",2010,cameron
"big","1457",2010,cameron
"say","1455",2010,cameron
"week","1445",2010,cameron
"many","1432",2010,cameron
"conservatives","1414",2010,cameron
"back","1372",2010,cameron
"secretary","1365",2010,cameron
"work","1359",2010,cameron
"vote","1353",2010,cameron
"well","1320",2010,cameron
"change","1298",2010,cameron
"see","1284",2010,cameron
"world","1273",2010,cameron
"take","1272",2010,cameron
"uk","1260",2010,cameron
"next","1243",2010,cameron
"spending","1241",2010,cameron
"good","1232",2010,cameron
"going","1229",2010,cameron
"policy","1214",2010,cameron
"000","1202",2010,cameron
"need","1194",2010,cameron
"want","1184",2010,cameron
"campaign","1177",2010,cameron
"support","1173",2010,cameron
"reform","1170",2010,cameron
"dem","1166",2010,cameron
"nick","1161",2010,cameron
"power","1161",2010,cameron
"society","1154",2010,cameron
"gordon","1137",2010,cameron
"10","1134",2010,cameron
"says","1133",2010,cameron
"national","1127",2010,cameron
"still","1108",2010,cameron
"parliament","1096",2010,cameron
"three","1096",2010,cameron
"voters","1091",2010,cameron
"mps","1090",2010,cameron
"state","1084",2010,cameron
"budget","1073",2010,cameron
"might","1073",2010,cameron
"told","1068",2010,cameron
"politics","1064",2010,cameron
"parties","1053",2010,cameron
"system","1040",2010,cameron
"since","1009",2010,cameron
"go","987",2010,cameron
"london","985",2010,cameron
"osborne","962",2010,cameron